Timestamp,Universidade:,Estou no(a):,Curso:,1. Em que opção você situaria seu conhecimento em R?,2. Você considera ter conhecimento intermediário/avançado em quais linguagens abaixo?,3. Você atua no mercado de trabalho?
9/22/2016 10:10:17,USP,Graduação,Ciências Sociais,Nunca programei em R.,NA,Não.
9/22/2016 10:10:51,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., Java ou C#.",NA
9/22/2016 10:48:56,Usp,Graduação,Matematica aplicada,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/22/2016 11:40:02,USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,Não.
9/22/2016 11:45:25,USP,Graduação,Licenciatura em Matemática,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/22/2016 11:50:00,IME USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Ruby, PHP ou Javascript., SQL.",Não.
9/22/2016 11:57:53,USP,Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",C ou C++.,Não.
9/22/2016 12:03:36,USP,Graduação,Bach. Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., SQL.",Sim e uso o R no trabalho.
9/22/2016 13:20:47,USP,Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",C ou C++.,Não.
9/22/2016 14:34:45,Universidade Federal de São Paulo,Graduação,Ciências Atuariais,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,"Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/22/2016 16:39:29,USP,Graduação,BMAC,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., Java ou C#.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/22/2016 23:12:11,IME-USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,Não.
9/23/2016 9:30:23,Universidade de São Paulo,Graduação,Saúde Pública,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/23/2016 9:46:49,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++.",Não.
9/23/2016 9:48:11,USP,Graduação,Estatística,Tenho conhecimento avançado e atualizado em R.,"Python, Matlab ou Octave., C ou C++.",Não.
